Restaurant,Delivery,Vegan,Number,Location,Instagram,Website,lon,lat
The Memphis Grill,No,No,818-738-9993,"5759 Lankershim Blvd, 91601",https://www.instagram.com/thememphisgrill,https://www.thememphisgrill.com/,-118.3813247,34.1754645
The Court Cafe,No,No,310-431-4969,"5496 W Centinela Ave, 90044",https://www.instagram.com/thecourtcafe_inc,         ---,-118.3763498,33.9767309
JR's Barbeque,Yes,No,310-837-6838,"3055 South La Cienega Blvd., 90232",https://www.instagram.com/officialjrsbbq,http://jrs-bbq.com/,-118.3724256,34.0306781
Just Turkey,Yes,No,323-591-0277,"3340 S La Cienega Blvd, 90016",https://www.instagram.com/just_turkey_la,http://justturkeyla.com/,-118.3717011,34.0269356
Awash Restaurant,No,No,323-939-3233,"5990 1/2 W Pico Blvd, 90035",https://www.instagram.com/,http://awashrestaurantlosangeles.mybistro.online/,-118.3707551,34.0520844
Black Bottom Southern Kitchen,Yes,No,818-856-8532,"4806 Vineland Avenue, 91601",https://www.instagram.com/blackbottomsouthernkitchen,https://blackbottomkitchen.com/,-118.370015,34.1578407
Roscoe's Chicken and Waffles,Yes,No,310-981-4141,"621 West Manchester Blvd, 90301",https://www.instagram.com/roscoesofficial,https://www.roscoeschickenandwaffles.com/,-118.367333,33.9618579
Harriet's Cheesecakes Unlimited,No,No,310-419-2259,"1515 Centinela Ave, 90302",https://www.instagram.com/harriets_cheesecakes_unlimited,         ---,-118.3654841,33.9765917
Veronica's Kitchen,No,No,310-673-4890,"528 W Manchester Blvd, 90301",https://www.instagram.com/,https://www.yelp.com/biz/veronicas-kitchen-inglewood,-118.3651188,33.9613509
Meals By Genet,No,No,323-938-9304,"1053 S. FAIRFAX AVE, 90019",https://www.instagram.com/,http://mealsbygenetla.com/,-118.3647521,34.056724
Rahel,No,Yes,323-937-8401,"1047 S Fairfax Ave, 90019",https://www.instagram.com/,http://rahelvegancuisine.com/,-118.3646369,34.0568525
Messob Ethiopian Restaurant,Yes,No,323-938-8827,"1041 S. Fairfax Avenue, 90019",https://www.instagram.com/messob_ethiopian_restaurant,https://www.messob.com/,-118.3645534,34.0569875
Lalibela,Yes,No,323-965-1025,"1025 S Fairfax Ave, 90019",https://www.instagram.com/,https://www.yelp.com/biz/lalibela-ethiopian-restaurant-los-angeles,-118.3644514,34.0573804
Annie's Soul Delicious,No,No,323-424-7402,"1066 S Fairfax Ave, 90019",https://www.instagram.com/aesouldelicious,https://www.anniessouldelicious.com/,-118.3644226,34.0562912
Flavors From A Far,Yes,No,714-623-9420,"1046 S. Fairfax, 90019",https://www.instagram.com/flavorsfromafar.co,https://www.flavorsfromafar.co/,-118.3641944,34.0568083
Buna Ethiopian Restaurant & Market,Yes,No,323-964-9731,"1034 S Fairfax Ave, 90019",https://www.instagram.com/bunaethiopian,https://bunaethiopianmarket.com/,-118.364041,34.057209
The Serving Spoon,Yes,No,310-412-3927,"1403 CENTINELA AVE, 90302",https://www.instagram.com/theservingspoon,https://theservingspoon.net/,-118.3634243,33.9762859
Busy Baking,No,No,323-919-3937,"11861 S Inglewood Ave, 90250",https://www.instagram.com/busybaking12,https://www.busybaking.info/,-118.3617817,33.9258337
My Two Cents,Yes,No,323-879-9881,"5583 W Pico Blvd, 90019",https://www.instagram.com/my2centsla,http://mytwocentsla.com/,-118.35959,34.0498941
Tacos Negros,Yes,No,         ---,"5583 W Pico Blvd, 90019",https://www.instagram.com/tacosnegrosla,         ---,-118.35959,34.0498941
Little Kingston Jamaican Restaurant,Yes,No,323-295-5596,"4716 W Slauson Ave, 90056",https://www.instagram.com/jamaicaonthego,         ---,-118.3592188,33.9880618
Stevie's Creole Cafe,Yes,No,323-413-2494,"5545 W Pico Blvd, 90019",https://www.instagram.com/steviesonpico,http://www.steviescreolecafe.com/,-118.3586361,34.0495309
Bayou Grille,Yes,No,310-673-0824,"1400 N. La Brea Avenue, 90302",https://www.instagram.com/bayougrille,https://www.bayougrille.net/,-118.3579873,33.9803435
Comfort LA,Yes,No,424-702-5138,"902 N LaBrea Ave, 90302",https://www.instagram.com/comfort_la,https://www.eatcomfortla.com/,-118.3573121,33.9747532
Banadir Somali Restaurant,Yes,No,310-419-9900,"137 W Arbor Vitae St, 90301",https://www.instagram.com/banadirsomalirestaurant,http://banadir-somali-restaurant.cafe-inspector.com/,-118.356536,33.9528475
Ms. B's M&M Soul Food,Yes,No,310-330-2697,"4549 W. Imperial Hwy, 90304",https://www.instagram.com/ms.bsmandmsoulfood,https://www.msbsmandmsoulfoodrestaurant.com/,-118.356536,33.9311431
Harun Coffee,Yes,No,323-815-9944,"310 N. Stanley Ave, 90036",https://www.instagram.com/haruncoffee,https://harunintl.com/,-118.3561844,34.0765194
Simply Wholesome,Yes,Yes,323-294-2144,"4508 W Slauson Ave, 90043",https://www.instagram.com/simplywholesome,https://www.simplywholesome.com/,-118.3545043,33.988645
The Snoball Shop,No,No,323-292-3145,"4452 West Slauson Ave, 90043",https://www.instagram.com/snoballshop,http://www.snoballshop.com/,-118.3538423,33.9886705
Sky's Gourmet Tacos,Yes,No,323-932-6253,"5303 W Pico Blvd, Los Angeles, 90019",https://www.instagram.com/skystacos,https://skystacos.com/los-angeles,-118.3537966,34.0487026
Orleans & York - Slauson Ave.,Yes,No,323-291-8800,"4454 W Slauson Ave, 90043",https://www.instagram.com/orleansandyorkdeli,http://orleansandyorkdeli.com/,-118.3537852,33.9884346
Dulan's Soul Food Kitchen,Yes,No,310-671-3345,"202 East Manchester Blvd, 90301",https://www.instagram.com/dulanssoulfoodkitchen,https://www.dulans-sfk.com/,-118.353089,33.9615771
Hilltop Coffee + Kitchen,Yes,No,323-743-8100,"170 N. La Brea Ave, 90301",https://www.instagram.com/findyourhilltop,https://www.findyourhilltop.com/,-118.3530362,33.9643098
Hilltop Coffee + Kitchen,Yes,No,323-815-9833,"4427 W. Slauson Avenue, 90043",https://www.instagram.com/findyourhilltop,https://www.findyourhilltop.com/,-118.3527779,33.9890231
Little Belize Restaurant,Yes,No,310-674-0696,"217 E Nutwood St, 90301",https://www.instagram.com/littlebelize,https://littlebelizerestaurant.com/,-118.3525134,33.9606872
Woody’s BBQ,No,No,310-672-4200,"475 S. Market St., Los Angeles",         ---,https://www.woodysbarbquela.com,-118.3523813,33.9573698
Sip & Sonder,No,No,         ---,"108 S Market St, 90301",https://www.instagram.com/sipandsonder,https://www.sipandsonder.com/,-118.351792,33.9626948
Rusty Pot Cafe,Yes,No,310-412-5901,"324 South Market Street, 90301",https://www.instagram.com/rustypotcafe,https://rustypotcafe.com/,-118.3516965,33.9599434
Stuff I Eat,Yes,Yes,310-671-0115,"114 N Market St, 90301",https://www.instagram.com/stuffieat_inglewood,https://www.stuffieat.com/,-118.3516965,33.9633466
Red's Flavor Table,No,No,424-331-5000,"254 N. Market St A, 90301",https://www.instagram.com/redsflavortable,https://www.redsflavortable.com/,-118.3507847,33.966519
Orleans & York,Yes,No,310-671-6200,"400 E Florence Ave, 90301",https://www.instagram.com/orleansandyorkdeli,http://orleansandyorkdeli.com/,-118.3502471,33.9671083
Roscoe's Chicken and Waffles,Yes,No,323-934-4405,"5006 Pico Blvd, 90019",https://www.instagram.com/roscoesofficial,https://www.roscoeschickenandwaffles.com/,-118.3462177,34.0475195
"Catered Occasions, Inc.",No,No,323-481-0709,"4054 Charlene Drive, 90043",         ---,         ---,-118.3459437,33.990606
Blessed Tropical Jamaican Cuisine,Yes,No,310-330-0649,"901 S Prairie Ave, 90301",https://www.instagram.com/blessedtropicaljamaicancuisin,https://www.yelp.com/biz/blessed-tropical-jamaican-cuisine-inglewood,-118.3447109,33.9525601
Fish Bone Seafood,Yes,No,310-673-6452,"1041 S Prairie Ave, 90301",https://www.instagram.com/fishboneseafoodinglewood,https://fishboneseafood.com/fishbone-seafood-inglewood/,-118.3446786,33.9498192
Lee's Caribbean Restaurant,Yes,No,310-419-6550,"1041 S Prairie Ave, 90301",https://www.instagram.com/leescaribbeanrest,         ---,-118.3446786,33.9498192
Bludso's,Yes,No,323-931-2583,"609 N. La Brea Ave, 90036",https://www.instagram.com/bludsosbbq,https://www.barandque.com/,-118.3443913,34.0822537
Pips on La Brea,No,No,323-954-7477,"1356 S. La Brea Ave., Los Angeles",         ---,https://www.pipsonlabrea.com/index.html,-118.3442087,34.0484623
Sweet Red Peach,No,No,310-671-2253,"1035 S Prairie Ave, 90301",https://www.instagram.com/sweetredpeach,https://www.sweetredpeach.com/,-118.3441506,33.9502041
Yordanos Ethiopian Restaurant,Yes,No,323-921-4215,"4020 W Martin Luther King Jr Blvd, 90008",https://www.instagram.com/yordanos_ethiopian_resturant,https://www.yelp.com/biz/yordanos-ethiopian-restaurant-los-angeles,-118.3433355,34.0155069
"Lou, The French On The Block",No,No,747-241-8205,"4007 W Riverside Drive, 91505",https://www.instagram.com/louthefrenchontheblock,https://www.louthefrenchontheblock.com/,-118.343283,34.152162
The Vtree,No,Yes,202-413-4083,"1999 N Sycamore Ave, 90068",https://www.instagram.com/thevtreehollywood,https://www.thevtreehollywood.com/,-118.3421546,34.1058658
Tisket and Tasket Catering and Cafe,No,No,323-291-8021,"3850 W Slauson Ave, 90043",         ---,         ---,-118.3415532,33.9887405
Simply D’Licious,No,No,562-326-6863,"4641 W. Washington Blvd., Los Angeles",         ---,https://www.simplydliciousla.com,-118.34126,34.040164
Mel's Fish Shack,Yes,No,323-732-6357,"4026 W Jefferson Blvd, 90016",https://www.instagram.com/melsfishla,https://melsfishshack.com/,-118.3402478,34.0254775
Post & Beam,Yes,No,323-299-5599,"3767 Santa Rosalia Dr, 90008",https://www.instagram.com/postandbeamla,https://postandbeamla.com/3767,-118.339044,34.00986
Hotville Chicken,Yes,No,323-792-4835,"4070 MARLTON AVE, 90008",https://www.instagram.com/hotvillechicken,https://www.hotvillechicken.com/,-118.3388743,34.0106869
Southern Girl Desserts,No,No,323-293-2253,"3650 W. Martin Luther King Jr. Blvd., Los Angeles",         ---,https://www.southerngirldesserts.com,-118.3364738,34.0110086
Phillips Bar-B-Que,No,No,323-731-4772,"2619 Crenshaw Blvd, 90016",https://www.instagram.com/,https://www.yelp.com/biz/phillips-barbecue-los-angeles-3,-118.3354027,34.0319841
Who’s Hungry Caribbean & Catering,Yes,No,213-610-4199,"2959 Crenshaw Blvd, 90016",https://www.instagram.com/whoshungryla,https://www.whoshungrycatering.com/,-118.3353557,34.0278374
Maverick's Flat,No,No,323-295-4179,"4225 Crenshaw Blvd, 90008",         ---,         ---,-118.3352898,34.0074238
Grilled Fraiche,Yes,Yes,323-389-8888,"5800 West Blvd, 90043",https://www.instagram.com/grilledfraiche,         ---,-118.3348975,33.9887298
Chef Marilyn's,Yes,No,323-737-8101,"2638 CRENSHAW BOULEVARD, 90016",https://www.instagram.com/marilynchef,https://www.chefmarilyns2638.com/,-118.3348602,34.0313965
Orleans & York,No,No,323-903-6650,"3868 Crenshaw Blvd, 90008",https://www.instagram.com/orleansandyorkdeli,http://orleansandyorkdeli.com/,-118.3347907,34.015416
Earle's On Crenshaw,Yes,Yes,323-299-2867,"3864 Crenshaw Boulevard, 90008",https://www.instagram.com/earlesoncrenshaw,https://earlesrestaurant.com/,-118.3346037,34.0156322
Swift Cafe,Yes,No,323-815-4418,"4279 1/2 Crenshaw Blvd, 90008",https://www.instagram.com/theofficialswiftcafe,https://swift-la.com/,-118.3344755,34.0058897
B&R Burgers,No,No,310-679-4774,"3512 Rosecrans Ave., Hawthorne",         ---,bandrburgers.com,-118.3335835,33.9015829
B&R's Old-Fashion Burgers,No,No,310-679-4774,"3512 W. Rosecrans Ave, 90250",https://www.instagram.com/br_burgers,http://www.bandrburgers.com/,-118.3335835,33.9015829
Taco Mell,No,No,844-822-6635,"4326 Crenshaw Blvd, 90008",https://www.instagram.com/tacomellcatering,https://tacomell.net/,-118.3330041,34.0047765
Woody’s BBQ,No,No,323-294-9443,"3446 W. Slauson Ave., Los Angeles",         ---,https://www.woodysbarbquela.com,-118.3326609,33.9888109
Harold's Chicken,Yes,No,323-645-7049,"6523 Hollywood Blvd, 90028",https://www.instagram.com/haroldschickenla,https://www.haroldschickenla.com/,-118.3318178,34.1017795
Ackee Bamboo,No,No,323-295-7275,"4305 Degnan Blvd, 90008",https://www.instagram.com/ackeebamboo,http://ackeebamboojacuisine.com/,-118.3318092,34.0058096
Hot & Cool Cafe,Yes,No,323-903-6449,"4331 Degnan Blvd, 90008",https://www.instagram.com/hotandcoolcafe,https://hotandcoolcafe.com/,-118.3316542,34.0050979
Dulan's on Crenshaw,Yes,No,323-296-3034,"4859 Crenshaw Blvd, 90043",https://www.instagram.com/dulansoncrenshaw,https://dulansoncrenshaw.com/,-118.3311944,33.9984983
Brother’s Bar-B-Que,No,No,323-751-1050,"7725 Crenshaw Blvd., Los Angeles",         ---,https://www.brotherbarbequecatering.com,-118.3310933,33.9691938
Azla Vegan,No,Yes,213-745-7455,"4309 Leimert Blvd, 90008",https://www.instagram.com/azlavegan,https://azlavegan.com/,-118.330315,34.0053132
Lavender Blue Restaurant Lounge,No,No,424-227-6712,"3310 W. Manchester Blvd Inglewood, 90305",https://www.instagram.com/lavenderbluela,http://www.lavenderbluela.com/,-118.3292875,33.9596206
Harold and Belle's,Yes,No,323-735-9023,"2920 West Jefferson Boulevard, 90018",https://www.instagram.com/haroldandbellesrestaurant,https://haroldandbelles.com/,-118.327908,34.0254524
Fyre Bird,Yes,No,424-269-1943,"15717 Crenshaw Blvd, 90249",https://www.instagram.com/fyrebirdchicken_,https://www.toasttab.com/fyrebird-15717-crenshaw-bl-unit-a/v3,-118.3273721,33.8877196
We Cupcake,No,No,424-261-3080,"10807 Crenshaw Boulevard, 90303",         ---,http://www.wecupcake.net/,-118.3267703,33.9374201
Fresh and Meaty Burgers,Yes,No,818-927-4051,"3016 W Florence Ave, 90043",https://www.instagram.com/freshandmeatyburgers,https://www.bestturkeyburgerlosangeles.com/,-118.3261749,33.974254
Red's Flavor Table,No,No,323-615-0234,"2812 W. Florence Ave, 90043",https://www.instagram.com/,https://www.redsflavortable.com/,-118.3241179,33.9743625
Natraliart Jamaican Restaurant,Yes,No,323-732-8865,"3426 W. Washington Blvd, 90018",https://www.instagram.com/natraliart,https://www.natraliartrestaurant.com/,-118.3223401,34.0397092
Roscoe's Chicken and Waffles,Yes,No,323-466-7453,"1514 N Gower St, 90028",https://www.instagram.com/roscoesofficial,https://www.roscoeschickenandwaffles.com/,-118.322145,34.0985806
Mama’s Chicken and Market,No,No,323-292-9696,"2510 West Slauson Avenue, 90043",https://www.instagram.com/redsflavortable,http://www.mamaschicken.name/,-118.3209443,33.9888279
Cobblers Cakes & Kream,No,No,323-455-1224,"2323 W. Manchester Blvd, Inglewood",         ---,cobblerscakesandkream.com,-118.3194045,33.9603222
Phat Daddy’s Burgers,No,No,323-792-4208,"2312 W. 48th St., Los Angeles",https://www.instagram.com/_phatdaddys,         ---,-118.3188857,33.9998895
Matthews Home Style Cooking,Yes,No,310-817-5496,"2222 West Rosecrans Avenue, 90249",https://www.instagram.com/matthewshomestylecooking,https://matthewshomestylecooking.business.site/,-118.3185821,33.9017287
Popbelli Deli,No,No,562-374-0658,"13911 Van Ness Ave, 90249",https://www.instagram.com/popbellideli,https://www.yelp.com/biz/pop-belli-deli-gardena-2?osq=pop+belli+deli,-118.318085,33.9052613
Pepper's Jamaican Cuisine,Yes,No,323-389-8053,"2166 w Slauson ave, 90047",https://www.instagram.com/peppersjamaicancuisine_,         ---,-118.3172477,33.9889013
Oh My Burger,Yes,No,310-756-6522,"2142 W El Segundo Blvd, 90249",https://www.instagram.com/ohmyburger,https://www.ohmyburgerla.com/,-118.3172226,33.9162054
Woody’s BBQ,No,No,323-758-8303,"1958 W. Florence Ave., Los Angeles",         ---,https://www.woodysbarbquela.com,-118.313204,33.9743652
M'Dears,Yes,No,323-759-2020,"7717 So. Western Avenue, 90047",https://www.instagram.com/mdears2450,https://www.mdears.net/,-118.3092881,33.9694063
D's Original Take Out Grill,Yes,No,323-971-3663,"7873 S. Western Ave, 90047",https://www.instagram.com/chefdsoriginalcatering,https://www.dsogtakeoutgrill.com/,-118.3092766,33.967497
South LA Cafe,No,No,213-260-0633,"1700 Browning Blvd, 90062",https://www.instagram.com/southlacafe,https://www.southlacafe.com/,-118.3089374,34.0118793
Happy Ice,No,No,215-800-3965,"8700 Western Ave, 90047",https://www.instagram.com/happyice,https://happyicela.com/,-118.3087924,33.9589019
CW & Chris Fish and Chicken,Yes,No,323-750-9403,"6512 S. Western Ave, 90047",https://www.instagram.com/,https://cwandchris.wixsite.com/cwandchris,-118.3087735,33.980229
Tracy's Belizean Restaurant,No,No,323-735-2166,"3810 S Western Ave, 90062",https://www.instagram.com/,https://www.yelp.com/biz/traceys-belizean-restaurant-los-angeles,-118.3086944,34.0169965
The Soul Food Shack,Yes,No,323-923-8982,"1762 W El Segundo Blvd, 90249",https://www.instagram.com/thesoulfoodshack,https://soulfoodshackgarde.wixsite.com/soulfoodshack,-118.308693,33.9164246
Fish Bone Seafood,Yes,No,323-615-0041,"8522 S Western Ave, 90047",https://www.instagram.com/fishboneseafood,https://fishboneseafood.com/fishbone-seafood-los-angeles/,-118.3086202,33.9603492
Fish Bone Seafood,Yes,No,310-532-7874,"1758 W El Segundo Blvd, 90249",https://www.instagram.com/fishboneseafoodgardena,https://fishboneseafood.com/fishbone-seafood-gardena/,-118.3086145,33.916049
Mr Fries Man,No,No,424-292-3616,"14800 S Western Ave, 90249",https://www.instagram.com/mr_fries_man,https://www.mrfriesman.com/,-118.3086145,33.8969749
Dulan's Soul Food Kitchen,No,No,323-418-8527,"1714 W. Century Blvd, 90047",https://www.instagram.com/dulanssoulfoodkitchen,https://www.dulans-sfk.com/,-118.3074043,33.9452554
Obet & Del’s Coffee,Yes,No,213-770-0133,"5233 Hollywood Blvd, 90027",https://www.instagram.com/obetandels,https://www.yelp.com/biz/obet-and-dels-coffee-los-angeles,-118.3045691,34.1018845
Natural Soul Food Non Profit,No,No,323-309-4230,"1444 W Martin Luther King Jr Blvd, 90062",         ---,         ---,-118.3018555,34.0106487
Fish Bone Seafood - Strawberry Square,Yes,No,323-814-2400,"1024 W Rosecrans Ave, 90247",https://www.instagram.com/fishbone_strawberry_square,https://fishboneseafood.com/strawberry-square/,-118.2927075,33.9012608
Yo Way Deli,No,No,424-228-1101,"17901 Vermont Ave, 90248",https://www.instagram.com/eatyoway,https://yowayeatery.com/,-118.2909863,33.867863
Fish Bone Seafood,Yes,No,323-814-2400,"800 W. Carson St, 90502",https://www.instagram.com/fishboneseafood,https://fishboneseafood.com/fishbone-seafood-carson/,-118.2890133,33.8312127
Barbara Jean Soul Food,No,No,213-419-9465,"3939 S Figueroa St, 90037",https://www.instagram.com/barbarajeaneats,http://barbarajeanla.com/,-118.2831949,34.0133885
Roscoe's Chicken and Waffles,Yes,No,714-823-4130,"2110 South Harbor Blvd, 90731",https://www.instagram.com/roscoesofficial,https://www.roscoeschickenandwaffles.com/,-118.279881,33.737491
Phat Birds pop-up,No,No,323-943-9191,"3705 W. Sunset Blvd., Los Angeles",         ---,https://www.phatbirds.menufy.com,-118.277839,34.0907567
Roscoe's Chicken and Waffles,Yes,No,323-752-6211,"106 W Manchester Blvd, 90003",https://www.instagram.com/roscoesofficial,https://www.roscoeschickenandwaffles.com/,-118.2744744,33.9598757
Hyperion Public,No,No,323-761-6440,"2538 HYPERION AVE, 90027",https://www.instagram.com/hyperionpublic,http://www.hyperionpublic.com/silver-lake,-118.2726245,34.1053372
Say Cheese,Yes,No,323-665-0545,"2800 Hyperion Avenue, 90027",https://www.instagram.com/saycheeselosangeles,http://www.saycheeselosangeles.com/,-118.2716196,34.1081479
M&M Soul Food,No,No,310-324-5317,"335 E. Albertoni, Carson",         ---,         ---,-118.2703406,33.8718751
Jay Bee’s,No,No,310-532-1064,"15911 S. Avalon Blvd., Gardena",         ---,         ---,-118.2655343,33.8874975
Orleans & York,Yes,No,310-324-3100,"673 E University Dr, 90746",https://www.instagram.com/orleansandyorkdeli,http://orleansandyorkdeli.com/,-118.2644444,33.8585382
Nimbus Coffee,Yes,No,213-441-7309,"1115 South Hope St, 90015",https://www.instagram.com/nimbus_coffee_la,https://www.nimbuscoffeela.com/home,-118.2637172,34.0420608
Fresh and Meaty Burgers,Yes,No,424-536-3046,"21780 S. Avalon Blvd., 90745",https://www.instagram.com/freshandmeatyburgers,https://www.bestturkeyburgerlosangeles.com/,-118.2634321,33.8302595
Bloom & Plume,Yes,No,213-908-5808,"1638 W. Temple Street, 90026",https://www.instagram.com/bloomandplumecoffee,https://www.bloomandplumecoffee.com/,-118.2623293,34.0681683
Vurger Guys,No,No,213-298-1724,"1311 W. 3rd Street, 90017",https://www.instagram.com/vurgerguyz,https://www.vurgerguyz.com/,-118.259968,34.0578999
VanillaBlack Coffee.,No,No,         ---,"1825 W. Sunset Blvd, 90026",https://www.instagram.com/vanillablackla,         ---,-118.2598343,34.0782059
Grilled Fraiche,Yes,Yes,323-744-2100,"853 E Manchester Ave, 90001",https://www.instagram.com/grilledfraiche,         ---,-118.2588979,33.9604714
Granny's Kitchen Southern Style Soul Food,Yes,No,877-462-6694,"5440 S Central Ave, 90011",https://www.instagram.com/grannys_kitchen_soulfood,https://www.yelp.com/biz/grannys-kitchen-los-angeles,-118.2561113,33.9931293
Woodspoon,Yes,No,213-629-1765,"107 WEST 9TH STREET, 90015",https://www.instagram.com/woodspoon,http://www.woodspoonla.com/,-118.2551552,34.0418944
27th Street Bakery,No,No,323-233-3469,"2700 S Central Ave, 90011",         ---,         ---,-118.2551063,34.0174859
Boketto Cold Brews,No,No,310-490-5394,"743 S. Broadway, Los Angeles",         ---,https://www.bokettocoldbrew.com,-118.2546266,34.0443675
Hawkin's House of Burgers,Yes,No,323-563-1129,"11603 Slater Street, 90059",https://www.instagram.com/hawkinshob,http://www.hawkinsburgers.com/,-118.2522854,33.9292514
Chicken N Chips,Yes,No,323-922-1070,"2728 Fletcher Drive, 90039",https://www.instagram.com/chickennchips,https://chickennchips.com/,-118.2505554,34.1107705
Bohemian House of Espresso + Chai,No,No,213-628-3086,"548 S SPRING ST, 90013",https://www.instagram.com/bohemianchai,https://www.bohemianchai.com/,-118.2503325,34.0458382
Poppy+Rose,Yes,No,213-995-7799,"765 WALL STREET, 90014",https://www.instagram.com/poppyandrosela,https://www.poppyandrosela.com/,-118.2500946,34.0406807
Orleans & York,Yes,No,213-687-0400,"333 S Spring St, 90013",https://www.instagram.com/orleansandyorkdeli,http://orleansandyorkdeli.com/,-118.2480432,34.0496667
Big Man Bakes,No,No,213-617-9100,"413 S. Main St., Los Angeles",         ---,https://www.bigmanbakes.com,-118.2477379,34.0478346
Blended Berries Tea,No,No,323-317-3443,"P.O. Box 1216, 90001",https://www.instagram.com/blendedberriestea/,https://www.blendedberriestea.com/,-118.2468148,33.9697897
Roscoe's Chicken and Waffles,Yes,No,562-437-8355,"730 East Broadway, 91205",https://www.instagram.com/roscoesofficial,https://www.roscoeschickenandwaffles.com/,-118.2459925,34.1460186
A Beautiful Life,No,No,213-972-9900,"216 s spring st, 90012",https://www.instagram.com/abeautifullifejamaican,https://www.abeautifullifecafe.com/,-118.2458757,34.0511952
Comfort LA - 7th St.,Yes,No,213-537-0844,"1110 E 7th Street, 90021",https://www.instagram.com/comfort_la,https://www.eatcomfortla.com/,-118.2429441,34.0378357
